DATE,FARM,CT_ID,VID,IMG,TIME,TEMP (C),QUANTITY,ANIMAL,MATURITY,SEX,MOVEMENT_TO,EATING_CROP,HUNTING,IN FENCE,SPECIES,NOTE
"June 10, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-2-round-2.AVI,PUC_CT_N_deer-1-round-2.JPG,7:20:00 PM,23,2,birds,Adult,,,FALSE,FALSE,FALSE,crow,
"June 10, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-2-round-2.AVI,PUC_CT_N_deer-1-round-2.JPG,7:20:00 PM,23,1,deer ,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer3-round3.AVI,PUC_CT_N_deer3-round2.JPG,5:54:00 AM,20,1,deer ,Adult,Female,,FALSE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-4-round-2-2nd vid.AVI,PUC_CT_N_deer-4-round-2.JPG,5:25:00 PM,33,4,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-4-round-2.AVI,PUC_CT_N_deer-4-round-2.JPG,5:23:00 PM,33,2,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-5-round-2.AVI,PUC_CT_N_deer-5-round-2.JPG,8:43 PM,19,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 12, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-6-round-2.AVI,PUC_CT_N_deer-6-round-2.JPG,0:43,13,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 12, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-7-round-2.AVI,,5:30,10,1,deer,Adult,Female,,FALSE,FALSE,FALSE,,running across field
"June 17, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-7-round-2.AVI,PUC_CT_N_deer-8-round-2.JPG,4:46:00 PM,34,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 18, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-9-round-2.AVI,PUC_CT_N_deer-9-round-2.JPG,7:06:00 PM,22,2,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 19, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-10-round-2.AVI,PUC_CT_N_deer-10-round-2.JPG,8:43:00 PM,21,1,deer,Adult,Female,,FALSE,FALSE,FALSE,,walking across field in the pouring rain
"June 20, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer-11-round-2-2nd vid.AVI,PUC_CT_N_deer-11-round-2.JPG,7:43,21,2,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_S,,PUC_CT_S_deer1_round2,2:13:18,22,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_S,PUC_CT_S_deer2_round2,PUC_CT_S_deer2_round2,22:54:55,16,1,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 18, 2019",PU Corn,PUC_CT_S,,PUC_CT_S_deer3_round2,4:53:16,20,1,deer,Adult,Female,,FALSE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_W,,PUC_CT_W_deer-1-round-2,21:06:54,18,1,deer,Adult,,,FALSE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_W,PUC_CT_W_deer-1-round-2,,21:07:00,18,1,deer,Adult,,East,FALSE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_W,,PUC_CT_W_deer-2-round-2,21:25:07,18,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 19, 2019",PU Corn,PUC_CT_S,PUC_CT_S_deer4_round2_2ndpic,PUC_CT_S_deer4_round2_2ndpic,2:31:25,21,2,deer,Adult,Female,,TRUE,FALSE,FALSE,,
"June 11, 2019",PU Corn,PUC_CT_W,,PUC_CT_W_deer-2-round-2,21:25:13,18,1,deer,Adult,,,TRUE,FALSE,FALSE,,
,,,,,,,,,,,,,,,,
"June 12, 2019",PU Corn ,PUC_CT_W,,PUC_CT_W_deer-3-round-2,0:52:55,15,1,deer,Adult,,,FALSE,FALSE,FALSE,,
"June 17, 2019",PU Corn ,PUC_CT_W,PUC_CT_W_deer4-round2,,20:54:52,21,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 17, 2019",PU Corn ,PUC_CT_W,,PUC_CT_W_deer4-round2,20:54:39,21,1,deer,Adult,,,FALSE,FALSE,FALSE,,
"June 18, 2019",PU Corn ,PUC_CT_SF,PUC_CT_SF_deer-1-round-2,PUC_CT_SF_deer-1-round-2,4:35:11,21,1,deer,Adult,Female,East,FALSE,FALSE,TRUE,,
"June 18, 2019",PU Corn ,PUC_CT_W,PUC_CT_W_deer5_round2,,1:52:45,21,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 10, 2019",PU Corn ,PUC_CT_WF,,PUC_CT_WF_deer-1-2round,22:29:47,22,1,deer,Adult,Female,,FALSE,FALSE,TRUE,,
"June 18, 2019",PU Corn ,PUC_CT_W,,PUC_CT_W_deer5-round2,1:52:43,21,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 18, 2019",PU Corn ,PUC_CT_WF,,PUC_CT_WF_deer-2-2round,3:54:17,21,1,deer,Adult,Female,,FALSE,FALSE,TRUE,,
"June 18, 2019",PU Corn ,PUC_CT_W,PUC_CT_W_deer6_round2,,21:20:50,21,1,deer,Adult,,,FALSE,FALSE,FALSE,,
"June 18, 2019",PU Corn ,PUC_CT_W,,PUC_CT_deer6_round2,21:20:43,21,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 19, 2019",PU Corn ,PUC_CT_W,PUC_CT_W_deer7_round2,,2:42:09,21,1,deer,Adult,female,,TRUE,FALSE,FALSE,,
"June 19, 2019",PU Corn ,PUC_CT_W,,PUC_CT_W_deer7_round2,2:41:57,21,1,deer,Adult,,,FALSE,FALSE,FALSE,,
"June 19, 2019",PU Corn ,PUC_CT_W,PUC_CT_W_deer8_round2,,22:34:00,20,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 19, 2019",PU Corn ,PUC_CT_W,,PUC_CT_W_deer8_round2,22:33:59,20,1,deer,Adult,,,TRUE,FALSE,FALSE,,
"June 24, 2019",PU Corn ,PUC_CT_S,PUC_CT_S_deer1_round3,PUC_CT_S_deer1_round3,21:41,23,1,deer,Young,,SW,FALSE,FALSE,FALSE,,
"June 25, 2019",PU Corn ,PUC_CT_S,PUC_CT_S_deer2_round3,PUC_CT_S_deer2_round3,21:40,22,2,deer,Adult,female,W,TRUE,FALSE,FALSE,,
"June 25, 2019",PU Corn ,PUC_CT_S,PUC_CT_S_deer3_round3,PUC_CT_S_deer3_round3,23:39,20,1,deer,Adult,female,W,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn ,PUC_CT_S,PUC_CT_S_deer4_round3,,23:28,23,1,deer,Adult,female,SE,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn ,PUC_CT_S,,PUC_CT_S_deer5_round3,21:32,23,1,deer,Adult,male,S,TRUE,FALSE,FALSE,,
"June 26, 2019",PU Corn ,PUC_CT_SF,PUC_CT_SF_deer1_R3,PUC_CT_SF_deer1_R3,22:46:36,22,1,deer,Adult,female,N,TRUE,FALSE,TRUE,,
"June 26, 2019",PU Corn ,PUC_CT_S,,PUC_CT_S_deer5_round3,21:32,23,1,deer,Adult,female,S,TRUE,FALSE,FALSE,,
"June 27, 2019",PU Corn,PUC_CT_S,PUC_CT_S_turkey_round3,PUC_CT_S_turkey_round3,6:33,24,1,turkey,Adult,male,W,FALSE,TRUE,FALSE,,
"June 27, 2019",PU Corn,PUC_CT_SF,PUC_CT_SF_deer2_R3,PUC_CT_SF_deer2_R3,2:13:42,20,1,deer,Adult,female,N,TRUE,FALSE,TRUE,,
"June 28, 2019",PU Corn,PUC_CT_S,,PUC_CT_S_deer6_round3,0:42,19,1,deer,Adult,female,E,TRUE,FALSE,FALSE,,
"June 28, 2019",PU Corn,PUC_CT_S,,PUC_CT_S_deer7_round3,0:48,19,1,deer,Adult,female,W,TRUE,FALSE,FALSE,,
"June 27, 2019",PU Corn,PUC_CT_EF,PUC_CT_EF_deer1_R3,PUC_CT_EF_deer1_R3,21:36:22,22,1,deer,Adult,female,W,TRUE,FALSE,TRUE,,
"June 24, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer1_R3,PUC_CT_N_deer1_R3,20:03,28,5,deer,Adult,female,,TRUE,FALSE,FALSE,,
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer2_R3,PUC_CT_N_deer2_R3,5:38,21,1,deer,young,,E,TRUE,FALSE,FALSE,,
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer3_R3,PUC_CT_N_deer3_R4,12:24,38,1,deer,Adult,female,E,TRUE,FALSE,FALSE,,
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer4_R3,PUC_CT_N_deer4_R4,18:08,38,2,deer,Adult,female,E,TRUE,FALSE,FALSE,,
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer5_R3,PUC_CT_N_deer5_R3,19:48,31,3,deer,Adult,female,,TRUE,FALSE,FALSE,,These three are probably part of the 6 in PUC_CT_N_deer6_R3.AVI
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer6_R3,PUC_CT_N_deer6_R3,19:58,30,6,deer,Adult,,SE,TRUE,FALSE,FALSE,,
"June 25, 2019",PU Corn,PUC_CT_N,PUC_CT_N_deer7_R3,PUC_CT_N_deer7_R3,20:12,28,1,deer,Adult,female,N,TRUE,FALSE,FALSE,,This one is probably part of the 6 in PUC_CT_N_deer6_R3.AVI
